anchor_id,anchor_type,token_mint,source_row_id,anchor_block_time,lookback_start_time,lookback_end_time,trade_count_300s,volume_usd_300s,volume_usd_60s,volume_usd_30s,volume_usd_10s,buy_usd_300s,sell_usd_300s,project_count,first_trade_time,last_trade_before_anchor,volume_accel_60_300,volume_accel_30_300,volume_accel_10_300,buy_pressure_300s,crescendo_broad_30_p80,crescendo_strict_30_p90,crescendo_fast_10_p90,crescendo_or_30p90_10p90,crescendo_plus_buy_pressure
control_952:-60s,control,7NU5YCuKWefCRR6mvuuMTrmCM5U1DNcFGCEZkHE3pump,952,1.779263713e+09,1.779263413e+09,1.779263713e+09,35,653.944436838,77.6806131948,66.9534157908,17.4354485844,98.93525508020002,555.0091817578001,1,2026-05-20 07:50:19.000 UTC,2026-05-20 07:55:06.000 UTC,0.11878778810384409,0.1023839519371677,0.026661972489138614,0.15129000188239078,0,0,0,0,0
entry_908,entry,TjsmLrTMfXrkDjyZDAckp1P4GUvmC35okg7ztjSpump,908,1.779268284e+09,1.779267984e+09,1.779268284e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
control_905:-60s,control,FmbmhYpjBzszfUxDju3g1qQzggXTT5yfMJ94rK7ypump,905,1.779268668e+09,1.779268368e+09,1.779268668e+09,107,5962.32681505456,968.43412789068,868.6948967267999,15.706735094159999,671.0466658513601,5291.2801492032,2,2026-05-20 09:12:50.000 UTC,2026-05-20 09:17:47.000 UTC,0.16242553585714808,0.14569729631951595,0.0026343297812024195,0.11254778321728401,0,0,0,0,0
entry_847,entry,Fkttz5QhPbg86YgghPjcm2mpGHAfVUAPxfwMChmDpump,847,1.779276252e+09,1.779275952e+09,1.779276252e+09,653,29715.935957126774,9576.390713116894,8181.790179248789,1736.4880809951997,4399.502351050319,25316.433606076447,1,2026-05-20 11:19:12.000 UTC,2026-05-20 11:24:11.000 UTC,0.32226448215978837,0.27533341675837575,0.05843625735028338,0.14805195291165604,1,0,0,0,0
entry_775,entry,AzhUHpX3FvKCrQJjg5SxSUoSgiurdNpp9oPMWiTkpump,775,1.779283404e+09,1.779283104e+09,1.779283404e+09,9,418.23250707068996,369.07393290494997,369.07393290494997,<nil>,59.27507888135,358.95742818934,1,2026-05-20 13:19:19.000 UTC,2026-05-20 13:23:11.000 UTC,0.8824611350512953,0.8824611350512953,0,0.14172757468450742,1,1,0,1,0
control_769:-60s,control,Fbxt4euSc9kcmQ9wbyPmbob5TbEPA9hfVNmR8TiGpump,769,1.77928398e+09,1.77928368e+09,1.77928398e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
control_743:-120s,control,H3pH7frVidjqQTpBpZtDhvuMZu97VkBGPHkngYegpump,743,1.779286411e+09,1.779286111e+09,1.779286411e+09,129,4080.268638321379,1672.7356179059395,1258.3317205567,208.64259206071,2656.213808357151,1424.0548299642298,1,2026-05-20 14:08:31.000 UTC,2026-05-20 14:13:29.000 UTC,0.4099572273736619,0.3083943318679079,0.05113452337455543,0.6509899332142786,1,0,0,0,1
entry_681,entry,9YrQVKG9q3tux44ZhkM3rriFAkEsJiuvoySQshijpump,681,1.779290703e+09,1.779290403e+09,1.779290703e+09,29,1106.40494659095,781.6866240946503,527.5022337904501,103.90157450055001,608.5021747459501,497.9027718450001,2,2026-05-20 15:20:05.000 UTC,2026-05-20 15:24:57.000 UTC,0.7065104205319939,0.4767713985876397,0.09390917387046314,0.5499814300549398,1,1,1,1,0
entry_555,entry,E9RUn7tjhgukNqUDFHfu1CfaFSEERT8i13e86j3Hpump,555,1.779300567e+09,1.779300267e+09,1.779300567e+09,32,1936.2374178405696,343.29407835594,43.38776922396,15.58671137284,325.01793216321994,1611.21948567735,2,2026-05-20 18:04:55.000 UTC,2026-05-20 18:09:20.000 UTC,0.17729957865332757,0.02240828982240677,0.008050000082233414,0.16786057803061316,0,0,0,0,0
control_514:-60s,control,AjLhrxN2yrCe45Y2KGPMZCkBm6NpN43jWqPkdZq6pump,514,1.779304672e+09,1.779304372e+09,1.779304672e+09,75,12322.60766799861,2888.2789944697806,<nil>,<nil>,3528.4841889877007,8794.123479010908,1,2026-05-20 19:13:21.000 UTC,2026-05-20 19:17:21.000 UTC,0.23438861905589528,0,0,0.2863423298098708,0,0,0,0,0
control_447:-60s,control,Hs78KxVJhxVrk6E5YasrLgj5HqQckEscRdUERnzmpump,447,1.779310708e+09,1.779310408e+09,1.779310708e+09,144,8234.45581712129,951.6330246137001,356.7999956783,274.5703246572,2383.72509134577,5850.730725775521,2,2026-05-20 20:53:35.000 UTC,2026-05-20 20:58:20.000 UTC,0.11556720270877407,0.04333012449182523,0.03334407649456402,0.2894817999253172,0,0,0,0,0
control_444:-60s,control,6ymvbHWYqA8QdfZEqp3UVipqefpfzd5NYK8hYr4nX2Wz,444,1.779311297e+09,1.779310997e+09,1.779311297e+09,63,2066.6970347769893,953.5289320507499,949.7489297541299,2.35937192337,320.49383659227,1746.2031981847206,1,2026-05-20 21:03:28.000 UTC,2026-05-20 21:08:13.000 UTC,0.46137818751631493,0.45954918102285575,0.0011416148006544134,0.15507538415123978,1,1,0,1,0
entry_406,entry,G6hMgpNsK9anRNwSfCJfVbX925F2s55nYnpXf3LxSbEF,406,1.779314271e+09,1.779313971e+09,1.779314271e+09,2,59.165311772699994,59.165311772699994,59.165311772699994,<nil>,59.165311772699994,<nil>,1,2026-05-20 21:57:32.000 UTC,2026-05-20 21:57:33.000 UTC,1,1,0,1,1,1,0,1,1
control_250:-120s,control,C2etHY6TgHCvHzj8CR1WeNAmvTwvV4PNCxsfpP4Tpump,250,1.779328182e+09,1.779327882e+09,1.779328182e+09,2,181.66532614595997,95.15802797298,95.15802797298,<nil>,181.66532614595997,<nil>,1,2026-05-21 01:47:46.000 UTC,2026-05-21 01:49:24.000 UTC,0.5238095237641814,0.5238095237641814,0,1,1,1,0,1,1
control_191:-300s,control,FmbmhYpjBzszfUxDju3g1qQzggXTT5yfMJ94rK7ypump,191,1.779336142e+09,1.779335842e+09,1.779336142e+09,4,100.89534182394,<nil>,<nil>,<nil>,<nil>,100.89534182394,1,2026-05-21 03:57:34.000 UTC,2026-05-21 03:59:41.000 UTC,0,0,0,0,0,0,0,0,0
control_129:-300s,control,GztY9CrmPEpTpK2M6MgHdSEsywA5CFAdrzLVxvdVpump,129,1.779344537e+09,1.779344237e+09,1.779344537e+09,622,21704.091810635575,4082.9472863282385,3626.0941843465575,658.3682300582399,5285.740495345357,16418.35131529026,3,2026-05-21 06:17:17.000 UTC,2026-05-21 06:22:15.000 UTC,0.18811878064059273,0.1670696113886542,0.030333829943329955,0.24353658938888173,1,0,0,0,0
control_122:-300s,control,DSmMXHseRHUFc2yXFXKAWwaQNbtzbSxjD9UmJ3Pfpump,122,1.77934561e+09,1.77934531e+09,1.77934561e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
control_83:-60s,control,FJ92Hofsgg5Htcf98u5Y5USRSGTTQHtMe9VrPYDpump,83,1.779352485e+09,1.779352185e+09,1.779352485e+09,6,113.35551280309,113.35551280309,35.866391586990005,<nil>,63.14681851824001,50.20869428485,1,2026-05-21 08:34:10.000 UTC,2026-05-21 08:34:34.000 UTC,1,0.3164062399796432,0,0.5570687914220143,1,0,0,0,0
control_16:-60s,control,62NGaqGP17rjPtqNjHrKXDnVzA5bsn8132ePa9T1pump,16,1.77936326e+09,1.77936296e+09,1.77936326e+09,65,5762.677293765,444.8391546795,41.46277956275,<nil>,2166.3568455035206,3596.32044826148,1,2026-05-21 11:29:33.000 UTC,2026-05-21 11:33:56.000 UTC,0.07719313992487471,0.0071950549109545256,0,0.37592888427874266,0,0,0,0,0
control_984:-300s,control,DyVdakAbBwxxbVLx8YTDLohjY9RPddkVSuQx1Emupump,984,1.779257856e+09,1.779257556e+09,1.779257856e+09,546,32157.00275459322,5655.615951350508,2713.039614245121,779.8761674580302,6397.82001058264,25759.18274401058,1,2026-05-20 06:12:39.000 UTC,2026-05-20 06:17:35.000 UTC,0.175875096149708,0.0843685474964733,0.024252141078248805,0.19895573164600336,0,0,0,0,0
control_702:-60s,control,9SE24gGAoTGbNzsuh8aBmrTBowVipU4M3amwKhFJpump,702,1.779289225e+09,1.779288925e+09,1.779289225e+09,1,69.19715753496,<nil>,<nil>,<nil>,<nil>,69.19715753496,1,2026-05-20 14:56:19.000 UTC,2026-05-20 14:56:19.000 UTC,0,0,0,0,0,0,0,0,0
entry_679,entry,3tHpmEypJDxuQQuBWk4JptDPXMZXCSRxHXrTVUG1pump,679,1.779290715e+09,1.779290415e+09,1.779290715e+09,8,1000.38185734872,722.7698548249201,439.10279719391997,439.10279719391997,12.93410398464,987.44775336408,1,2026-05-20 15:20:37.000 UTC,2026-05-20 15:25:10.000 UTC,0.7224939651949046,0.43893518656731745,0.43893518656731745,0.012929166887251277,1,1,1,1,0
control_657:-60s,control,buRrYin43ba1CukT5vksytD8BZFsCwg6N3tw8tb4r48,657,1.779292728e+09,1.779292428e+09,1.779292728e+09,215,1822.0360811558523,478.69724381087957,206.62032853616003,0.0569711496,319.91837647679955,1502.11770467906,3,2026-05-20 15:53:48.000 UTC,2026-05-20 15:58:46.000 UTC,0.26272654463966844,0.11340078864140027,3.126784929739645e-05,0.17558289859652526,0,0,0,0,0
control_627:-300s,control,7sU1iQqUN7gTgkNh4ZRtRHxP98GkPYYWM16qAC6upump,627,1.779294554e+09,1.779294254e+09,1.779294554e+09,2,6.28047428931,<nil>,<nil>,<nil>,<nil>,6.28047428931,1,2026-05-20 16:24:56.000 UTC,2026-05-20 16:25:49.000 UTC,0,0,0,0,0,0,0,0,0
control_530:-120s,control,FZekF8EVFYANK1b4Qnv6MsikpvrDgqG9X56er7RRpump,530,1.779303529e+09,1.779303229e+09,1.779303529e+09,66,1938.3607421494003,516.58149264184,430.99370622692,25.12023862808,191.798124975,1746.5626171744002,2,2026-05-20 18:54:01.000 UTC,2026-05-20 18:58:46.000 UTC,0.2665043102704482,0.22234958480896685,0.012959527131273196,0.09894862230975635,1,0,0,0,0
control_477:-60s,control,FWRKcALU6t3mfY4UaYK9CnDk3aVuzJ77ogsDCk3Cpump,477,1.77930761e+09,1.77930731e+09,1.77930761e+09,1,7.798725085139999,<nil>,<nil>,<nil>,<nil>,7.798725085139999,1,2026-05-20 20:02:34.000 UTC,2026-05-20 20:02:34.000 UTC,0,0,0,0,0,0,0,0,0
control_462:-120s,control,E1M6EMQviknF22xmDjgQqzVAD1PUaojnMJVNs5rwpump,462,1.779308603e+09,1.779308303e+09,1.779308603e+09,8,1024.4300088124799,730.31983883968,730.31983883968,<nil>,157.14540483672,867.2846039757599,1,2026-05-20 20:19:27.000 UTC,2026-05-20 20:22:55.000 UTC,0.712903597666245,0.712903597666245,0,0.15339789295989395,1,1,0,1,0
entry_459,entry,9C8NLVCpLQ4Qsy3WvYXazpu5gzWYh7KTfXAqytRhpump,459,1.779309447e+09,1.779309147e+09,1.779309447e+09,465,19270.59693966995,7589.183746202009,4895.175932001718,2345.27157680562,8449.244062256177,10821.352877413774,2,2026-05-20 20:32:27.000 UTC,2026-05-20 20:37:26.000 UTC,0.3938219334855742,0.2540230563343181,0.12170207202962689,0.4384526379077953,1,0,1,1,0
entry_375,entry,E9RUn7tjhgukNqUDFHfu1CfaFSEERT8i13e86j3Hpump,375,1.779317732e+09,1.779317432e+09,1.779317732e+09,7,133.40603836944,107.06858400168,<nil>,<nil>,<nil>,133.40603836944,1,2026-05-20 22:50:42.000 UTC,2026-05-20 22:54:56.000 UTC,0.8025767447285709,0,0,0,0,0,0,0,0
control_316:-120s,control,FhoxjfsuStvRQKRXSuB9ZDB7WRGjqhUPxa3NztWspump,316,1.77932297e+09,1.77932267e+09,1.77932297e+09,3,115.5218539778,115.5218539778,115.5218539778,41.3120914062,74.20976257160001,41.3120914062,1,2026-05-21 00:22:39.000 UTC,2026-05-21 00:22:40.000 UTC,1,1,0.3576127804712951,0.6423872195287049,1,1,1,1,1
control_293:-60s,control,AUVbCiTZ9cB76JDCBQQmM67dbtUAcHfXzxMr2fE1pump,293,1.779324178e+09,1.779323878e+09,1.779324178e+09,5,42.54582583675,34.8576165504,34.8576165504,<nil>,34.8576165504,7.68820928635,1,2026-05-21 00:38:02.000 UTC,2026-05-21 00:42:45.000 UTC,0.8192958031688007,0.8192958031688007,0,0.8192958031688006,1,1,0,1,1
control_281:-60s,control,39yEFw7AMfuYzyvTJTyzKEgHuM5THuak3w27sPv5pump,281,1.779324993e+09,1.779324693e+09,1.779324993e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
entry_137,entry,TjsmLrTMfXrkDjyZDAckp1P4GUvmC35okg7ztjSpump,137,1.779343773e+09,1.779343473e+09,1.779343773e+09,27,3076.4273092492303,480.5156036681001,294.0604990414,<nil>,1345.9682626520103,1730.45904659722,1,2026-05-21 06:04:38.000 UTC,2026-05-21 06:09:21.000 UTC,0.15619273766795577,0.09558506328341052,0,0.43751017896810945,0,0,0,0,0
entry_125,entry,C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump,125,1.779345327e+09,1.779345027e+09,1.779345327e+09,10,1538.3147929518,477.33911521205,477.33911521205,<nil>,228.70465036789,1309.61014258391,2,2026-05-21 06:33:07.000 UTC,2026-05-21 06:35:05.000 UTC,0.3103000227255869,0.3103000227255869,0,0.14867220377504098,1,0,0,0,0
entry_120,entry,V5g6kX7drKeKR6TFbcrVhJyaqgoGzW41F657XAQpump,120,1.779346339e+09,1.779346039e+09,1.779346339e+09,902,37877.52041897038,8971.628932990228,3115.74867242145,959.8356245614499,13943.676363829663,23933.84405514072,2,2026-05-21 06:47:20.000 UTC,2026-05-21 06:52:18.000 UTC,0.23685892935317182,0.08225851739917417,0.02534050840563288,0.36812537382584803,0,0,0,0,0
entry_117,entry,6myk2HmGtpXZBnVZogtARcbDKmaNjkYf17qEFrGp1F3,117,1.779347215e+09,1.779346915e+09,1.779347215e+09,7,624.53824135769,622.81826263307,70.76396284199,<nil>,567.3829841038499,57.15525725384,1,2026-05-21 07:04:59.000 UTC,2026-05-21 07:06:29.000 UTC,0.997245999346844,0.11330605262562544,0,0.9084839750891962,0,0,0,0,0
control_988:-300s,control,24Tqg4amQPAHTUpfWgjXJxdAJY3JjZL7aCcaBHLgpump,988,1.779257758e+09,1.779257458e+09,1.779257758e+09,3,11.11046622246,<nil>,<nil>,<nil>,<nil>,11.11046622246,1,2026-05-20 06:11:28.000 UTC,2026-05-20 06:13:15.000 UTC,0,0,0,0,0,0,0,0,0
control_988:-120s,control,24Tqg4amQPAHTUpfWgjXJxdAJY3JjZL7aCcaBHLgpump,988,1.779257938e+09,1.779257638e+09,1.779257938e+09,6,96.16077549892,59.486432920729996,24.589410077030003,24.589410077030003,47.522788444650004,48.63798705427,1,2026-05-20 06:17:32.000 UTC,2026-05-20 06:18:56.000 UTC,0.6186143218177156,0.2557114369081411,0.2557114369081411,0.4942013851082528,1,0,1,1,0
control_837:-60s,control,4Cf9z5RRWNaAsPf2JFg63VaYLExc6C8KZd7Bsy7ipump,837,1.779277394e+09,1.779277094e+09,1.779277394e+09,89,3345.0006064064005,1534.3636893487994,1421.4903373695995,356.5287619584,373.5928671024,2971.4077393040006,1,2026-05-20 11:38:20.000 UTC,2026-05-20 11:43:09.000 UTC,0.4587035608932808,0.42495966507364386,0.10658555973818666,0.11168693553803512,1,1,1,1,0
control_781:-120s,control,2anVZdNA2WQ8m8b3TtdYJW5JhuNEpVCtHWWh3pEFpump,781,1.779282597e+09,1.779282297e+09,1.779282597e+09,2,437.84782840344,<nil>,<nil>,<nil>,41.99358154836,395.85424685508,1,2026-05-20 13:08:50.000 UTC,2026-05-20 13:08:51.000 UTC,0,0,0,0.0959090780499805,0,0,0,0,0
control_776:-300s,control,3VgPjkjuL3BkdmtGGRqmsVqGPdJTWTdwVTWSLJnppump,776,1.779283013e+09,1.779282713e+09,1.779283013e+09,9,231.8447508544,103.15471768236,103.15471768236,<nil>,21.12849379669,210.71625705771,1,2026-05-20 13:12:56.000 UTC,2026-05-20 13:16:28.000 UTC,0.44493014097671696,0.44493014097671696,0,0.09113207747351085,1,1,0,1,0
control_774:-60s,control,7sU1iQqUN7gTgkNh4ZRtRHxP98GkPYYWM16qAC6upump,774,1.779283382e+09,1.779283082e+09,1.779283382e+09,18,1080.58898233462,857.0996513880799,835.4217566529,<nil>,126.96263587996,953.6263464546599,1,2026-05-20 13:18:45.000 UTC,2026-05-20 13:22:47.000 UTC,0.7931782253936277,0.7731170410862098,0,0.1174939204040896,1,1,0,1,0
control_564:-120s,control,DjwnGiLwLqxJnyCtkCa5DnB3FNRKLAm8j26ia6AJpump,564,1.779299356e+09,1.779299056e+09,1.779299356e+09,5,97.3537085472,<nil>,<nil>,<nil>,82.8078793836,14.5458291636,1,2026-05-20 17:46:42.000 UTC,2026-05-20 17:48:10.000 UTC,0,0,0,0.8505878267950342,0,0,0,0,0
control_524:-300s,control,FZekF8EVFYANK1b4Qnv6MsikpvrDgqG9X56er7RRpump,524,1.779303642e+09,1.779303342e+09,1.779303642e+09,52,1872.4332620527703,372.50752369801006,134.410320632,42.883575171500006,617.0648487426798,1255.3684133100899,2,2026-05-20 18:55:42.000 UTC,2026-05-20 19:00:36.000 UTC,0.19894301775521,0.07178377107264396,0.022902592065944312,0.32955238579034035,0,0,0,0,0
control_416:-60s,control,HRNcgHc6DVmmCqhxpqjPPupPtVxXShKEYJcU91wXpump,416,1.779313118e+09,1.779312818e+09,1.779313118e+09,1,6.95722833675,6.95722833675,<nil>,<nil>,6.95722833675,<nil>,1,2026-05-20 21:37:46.000 UTC,2026-05-20 21:37:46.000 UTC,1,0,0,1,0,0,0,0,0
entry_271,entry,6EW2c3Piy9gL6JaVBrgsmZcbFENdWBsQQAdXvnxYpump,271,1.779326155e+09,1.779325855e+09,1.779326155e+09,60,4556.045360520149,983.76857825775,314.06524235125,173.64329113424998,828.8985774497501,3727.146783070399,1,2026-05-21 01:11:06.000 UTC,2026-05-21 01:15:51.000 UTC,0.21592598414020978,0.06893373913103318,0.038112722195203445,0.18193378508310493,0,0,0,0,0
control_261:-120s,control,72zgcu4UPvGYmVBvxSD3CXaEMAot9wrbHiGZWrDNpump,261,1.77932729e+09,1.77932699e+09,1.77932729e+09,2,54.92883795945001,<nil>,<nil>,<nil>,<nil>,54.92883795945001,1,2026-05-21 01:30:44.000 UTC,2026-05-21 01:31:00.000 UTC,0,0,0,0,0,0,0,0,0
control_216:-300s,control,9mTxwi3r1NA3NwJobe1ooDE4H9McCbwTftdQsVyepump,216,1.779333016e+09,1.779332716e+09,1.779333016e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
control_150:-300s,control,HJ4LhZwi4uro4ZFnsk4PBroCJz2KnEs8NwRhowoxpump,150,1.779341464e+09,1.779341164e+09,1.779341464e+09,5,294.60684337272,48.47276780424,48.47276780424,48.47276780424,269.26141984488,25.34542352784,1,2026-05-21 05:29:05.000 UTC,2026-05-21 05:30:54.000 UTC,0.16453374690592296,0.16453374690592296,0.16453374690592296,0.9139686531457302,1,0,1,1,1
control_144:-120s,control,7E4sijx3xTEuEnWw7qGhpsfvHfjtsCZjDvwzKTaapump,144,1.779342672e+09,1.779342372e+09,1.779342672e+09,1,20.27149739312,<nil>,<nil>,<nil>,<nil>,20.27149739312,1,2026-05-21 05:47:04.000 UTC,2026-05-21 05:47:04.000 UTC,0,0,0,0,0,0,0,0,0
control_128:-60s,control,9C8NLVCpLQ4Qsy3WvYXazpu5gzWYh7KTfXAqytRhpump,128,1.779344848e+09,1.779344548e+09,1.779344848e+09,6,304.22997143216,304.22997143216,304.22997143216,304.22997143216,5.20055092476,299.0294205074,1,2026-05-21 06:27:24.000 UTC,2026-05-21 06:27:26.000 UTC,1,1,1,0.01709414394735157,1,1,1,1,0
control_119:-300s,control,FqSwk5N6bM3U46G9DrB2t77hTYFGpmB1zWV6tGLmpump,119,1.7793464e+09,1.7793461e+09,1.7793464e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
entry_87,entry,FmbmhYpjBzszfUxDju3g1qQzggXTT5yfMJ94rK7ypump,87,1.779351635e+09,1.779351335e+09,1.779351635e+09,40,4488.106753004161,3046.8313236891595,3046.8313236891595,249.25050097038,1006.4685509444399,3481.6382020597202,2,2026-05-21 08:16:02.000 UTC,2026-05-21 08:20:34.000 UTC,0.6788678370116155,0.6788678370116155,0.055535778154907206,0.22425236437853222,1,1,0,1,0
control_76:-300s,control,2CG4tjaCdC1LZvpoLGoCeiChEhHyTFjvn4nunaxppump,76,1.779353458e+09,1.779353158e+09,1.779353458e+09,503,25923.081579556103,2820.1978107218,1521.6519295419,182.79318911243,5161.69000278371,20761.3915767724,1,2026-05-21 08:45:58.000 UTC,2026-05-21 08:50:57.000 UTC,0.10879099392820304,0.05869872857792998,0.007051368046327774,0.19911560232308212,0,0,0,0,0
control_46:-120s,control,CBStjrbAryYTxYj1ygL8tWwFJDfePoEXX4GjqXmtpump,46,1.779358495e+09,1.779358195e+09,1.779358495e+09,1043,51324.03398884936,5142.253846339229,2504.829392951291,397.9312095112601,8018.187671652807,43305.84631719662,2,2026-05-21 10:09:55.000 UTC,2026-05-21 10:14:52.000 UTC,0.10019192660219252,0.04880421896485162,0.007753311238117301,0.15622676256108053,0,0,0,0,0
control_943:-120s,control,9YrQVKG9q3tux44ZhkM3rriFAkEsJiuvoySQshijpump,943,1.779264544e+09,1.779264244e+09,1.779264544e+09,132,11938.51343423474,912.5848709408999,350.63369062658,30.03011688098,2395.402880287699,9543.11055394704,2,2026-05-20 08:04:04.000 UTC,2026-05-20 08:09:03.000 UTC,0.07644041077375534,0.029369962395913298,0.002515398340539283,0.20064498762623745,0,0,0,0,0
control_929:-120s,control,FqSwk5N6bM3U46G9DrB2t77hTYFGpmB1zWV6tGLmpump,929,1.779266124e+09,1.779265824e+09,1.779266124e+09,18,735.1701613312499,<nil>,<nil>,<nil>,112.01963180325001,623.150529528,1,2026-05-20 08:30:53.000 UTC,2026-05-20 08:34:13.000 UTC,0,0,0,0.15237238627912247,0,0,0,0,0
control_762:-300s,control,28Q3ToLkJvVKEPP8dyv1hBGePQ23XceKCKtSzwSnViRL,762,1.779284234e+09,1.779283934e+09,1.779284234e+09,29,1377.2376728877998,396.04536118825007,303.5268951558501,3.07638170515,37.48138350718,1339.7562893806198,1,2026-05-20 13:32:17.000 UTC,2026-05-20 13:37:05.000 UTC,0.2875650071042712,0.22038817346566855,0.002233733338632413,0.027214898521174504,1,0,0,0,0
control_753:-120s,control,FXGiagzdCSkBsgQLj1GajpxnN6LJnFXADshVhLbTpump,753,1.779285773e+09,1.779285473e+09,1.779285773e+09,0,0,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,0,0,0,0
